event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
37153	1748853903.7122319	0.019148936170212738	422	408.0186	509	13679.226	878.245	506	31510.143	0.0	0	0.0	0.0	0	0.0	343.9807	614	11058.979	139.34854	612	4489.51	0.0	0	0.0	0.0	0	0.0
37693	1748853908.6314795	0.021087680355160954	838	312.02325	507	10107.223	300.93506	506	9798.137	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	58.05548	716	1654.3433	0.0	0	0.0	0.0	0	0.0
38053	1748853911.837494	0.02168674698795181	2934	272.02264	508	8635.125	320.8354	507	11114.836	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	64.253204	1241	1763.1492	0.0	0	0.0
38289	1748853913.9706607	0.01783944499504464	2156	444.00528	508	14415.172	269.0699	506	8681.363	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	352.68518	1046	11140.349	0.0	0	0.0	0.0	0	0.0
39331	1748853923.8471594	0.019743336623889385	12436	164.03174	508	5426.902	396.48438	504	12268.994	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	80.093506	3615	2160.2627	0.0	0	0.0
39622	1748853926.6082084	0.026631158455392767	438	264.02557	507	8050.888	722.9638	506	28209.059	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	147.31485	616	5210.7197	0.0	0	0.0	0.0	0	0.0
40099	1748853930.9764297	0.01962809917355368	3980	232.02203	508	7391.055	161.5711	504	4741.6147	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	151.40564	1501	4894.315	0.0	0	0.0
40562	1748853935.6539843	0.014795474325500435	2933	196.03531	507	6623.076	193.4209	504	6302.935	242.51047	507	7598.517	511.91867	505	15714.522	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	94.50357	1239	2452.5696
40593	1748853936.0101743	0.014795474325500435	3615	276.02118	507	8411.388	221.30292	505	7131.8594	345.5186	507	10870.522	424.47403	506	13865.959	0.0	0	0.0	0.0	0	0.0	143.48547	1411	4384.132	134.25812	1409	3977.3916
41080	1748853940.1645226	0.020809248554913284	13017	156.0347	506	4534.7676	149.62167	503	4457.045	250.44598	505	7848.0566	114.37317	505	3361.5408	224.02496	3760	7390.9927	237.2201	3759	7680.3013	381.16696	3759	12499.046	150.15994	3758	4432.18
